measurement,n,mean,sd,median,q1,q3,min,max
OcclusalFloorTilt_deg,21,13.35438755120672,12.266584991099458,10.169353065201433,6.905017333981339,17.079700123101,2.1770826240881056,57.00250125471547
ProximalFloorArea_mm2,21,3.6610982819507676,1.3319759352574756,4.0488922927420266,2.640041448002343,4.661528843662375,0.8665825817671129,6.319711198084954
ProximalFloorTriangleCount,21,1003.1428571428571,369.0843109256049,1034.0,755.0,1267.0,206.0,1722.0
ProximalFloorTilt_deg,21,18.43485537889521,16.835665811420707,14.781203962923886,6.695540547866017,20.767798324296344,3.284736822700389,74.54218281645281
OcclusalDepthMean_mm,21,1.802137662092827,0.3814329656428906,1.812293671522564,1.6688160867047532,1.9380030712612863,0.7178392444929232,2.738673011287213
OcclusalDepthP95_mm,21,2.29264851777613,0.3713170019991095,2.252372014517272,2.1455761328456937,2.3854622920031803,1.5922151847475945,3.330710221990952
OcclusalDepthMin_mm,21,0.9364583662731366,0.6220474343732073,1.197440989327788,0.5977774582956386,1.316325579594377,-0.5128032100431028,1.670059881870884
OcclusalDepthMax_mm,21,2.498226641577016,0.3674724186106508,2.4568757861918016,2.3533779698922217,2.6256745244750164,1.8787890940517968,3.562299618377324
OcclusalFloorResidualMeanAbs_mm,21,0.10610502593659685,0.0695875287192463,0.0708734843619701,0.0552825830782458,0.1322549621703678,0.0466966112390318,0.3023921305936115
OcclusalFloorResidualAbsP95_mm,21,0.3024691340088304,0.22901810665360656,0.2348527967808515,0.1592090911878606,0.3309977367213259,0.1117106891063923,1.1035688482314874
ProximalDepthMean_mm,21,3.09917807040246,0.6173709380990785,3.2443787743125765,2.7666356611980705,3.4477971042135334,1.5899882384591568,4.1312739841424655
ProximalDepthP95_mm,21,3.4903476715019375,0.6724758194698408,3.5567480607040136,3.0387085856793274,3.851747068808757,1.8114914604798824,5.169492091062146
ProximalDepthMin_mm,21,2.346193048100884,0.7982322089915077,2.50869354922429,2.0513661072642435,2.836681523721154,0.2984408857694234,3.785294415137969
ProximalDepthMax_mm,21,3.660646830270622,0.6876249164738443,3.721863588201586,3.222094973959315,4.000094146543802,1.9748057303661997,5.48785484761288
ProximalFloorResidualMeanAbs_mm,21,0.0988927314322919,0.044131214058702024,0.093173493651816,0.0739878394777219,0.1064169205907708,0.0458336565755675,0.2283418746457942
ProximalFloorResidualAbsP95_mm,21,0.27859784438726937,0.15491834481617994,0.2275254541062036,0.1889274933649425,0.2856494922136006,0.124494306085214,0.6942115284461883
n_isthmuses,21,1.0952380952380953,0.30079260375911915,1.0,1.0,1.0,1.0,2.0
n_cusp_centers,21,4.095238095238095,0.30079260375911915,4.0,4.0,4.0,4.0,5.0
n_pairing_cusp_centers,21,4.0,0.0,4.0,4.0,4.0,4.0,4.0
n_geometric_pairs,21,1.6666666666666667,0.7302967433402214,2.0,2.0,2.0,0.0,2.0
n_cusp_pairs,21,2.0,0.0,2.0,2.0,2.0,2.0,2.0
n_valid_combinations,21,1.4285714285714286,0.9258200997725515,1.0,1.0,1.0,1.0,4.0
isthmus_id,21,1.0952380952380953,0.30079260375911915,1.0,1.0,1.0,1.0,2.0
cusp_pair_id,21,1.380952380952381,0.49761335152811925,1.0,1.0,2.0,1.0,2.0
isthmus_width_px,21,13.456896621100297,6.5118798306225365,11.0368913153908,9.001498907674153,19.00000000063688,4.055401630538971,25.336943577473058
intercuspal_distance_px,21,65.55976830212539,26.968734104147636,52.952809179494906,47.042533945356304,59.6657355607052,41.593268686170845,118.53269591129698
ratio_intercuspal_to_isthmus,21,5.597432348653835,2.95803624582281,4.95476208738931,4.506878414077486,5.667755881925322,2.45936075807522,16.128020726659937
match_distance_px,21,9.039700507390844,11.118040983960658,4.631909123047809,0.4176813819932476,15.821799574312625,0.0,42.63207853450505
center_distance_px,21,10.392445687803512,10.888837009562415,7.090442640220025,2.1659143814942303,16.004508355641885,0.0,42.78113793397153
